Date,"Close Price"
"2018-05-22 00:00:00",8358.32
"2018-05-22 01:00:00",8285.38
"2018-05-22 02:00:00",8301.57
"2018-05-22 03:00:00",8324.29
"2018-05-22 04:00:00",8285.56
"2018-05-22 05:00:00",8302.76
"2018-05-22 06:00:00",8317.21
"2018-05-22 07:00:00",8312.66
"2018-05-22 08:00:00",8290.6
"2018-05-22 09:00:00",8235.89
"2018-05-22 10:00:00",8255.47
"2018-05-22 11:00:00",8198.78
"2018-05-22 12:00:00",8165.03
"2018-05-22 13:00:00",8218.71
"2018-05-22 14:00:00",8229.51
"2018-05-22 15:00:00",8229.62
"2018-05-22 16:00:00",8220.12
"2018-05-22 17:00:00",8214.4
"2018-05-22 18:00:00",8209.02
"2018-05-22 19:00:00",8184.43
"2018-05-22 20:00:00",8106.45
"2018-05-22 21:00:00",8069.75
"2018-05-22 22:00:00",7974.3
"2018-05-22 23:00:00",7987.46
"2018-05-23 00:00:00",7966.79
"2018-05-23 01:00:00",7910.08
"2018-05-23 02:00:00",7906.34
"2018-05-23 03:00:00",7951.15
"2018-05-23 04:00:00",7896.96
"2018-05-23 05:00:00",7913
"2018-05-23 06:00:00",7946.71
"2018-05-23 07:00:00",7850.81
"2018-05-23 08:00:00",7845.95
"2018-05-23 09:00:00",7847.07
"2018-05-23 10:00:00",7848.98
"2018-05-23 11:00:00",7864.35
"2018-05-23 12:00:00",7907.95
"2018-05-23 13:00:00",7903.68
"2018-05-23 14:00:00",7880.88
"2018-05-23 15:00:00",7712.68
"2018-05-23 16:00:00",7615.97
"2018-05-23 17:00:00",7517.08
"2018-05-23 18:00:00",7503.09
"2018-05-23 19:00:00",7588
"2018-05-23 20:00:00",7581.31
"2018-05-23 21:00:00",7637.28
"2018-05-23 22:00:00",7553.34
"2018-05-23 23:00:00",7515.1
"2018-05-24 00:00:00",7575.11
"2018-05-24 01:00:00",7601.42
"2018-05-24 02:00:00",7575.22
"2018-05-24 03:00:00",7612.51
"2018-05-24 04:00:00",7720.88
"2018-05-24 05:00:00",7685.54
"2018-05-24 06:00:00",7655
"2018-05-24 07:00:00",7554.93
"2018-05-24 08:00:00",7407.88
"2018-05-24 09:00:00",7387.17
"2018-05-24 10:00:00",7329.24
"2018-05-24 11:00:00",7364.29
"2018-05-24 12:00:00",7505.23
"2018-05-24 13:00:00",7491.66
"2018-05-24 14:00:00",7514.2
"2018-05-24 15:00:00",7567.27
"2018-05-24 16:00:00",7512.58
"2018-05-24 17:00:00",7515.58
"2018-05-24 18:00:00",7596.13
"2018-05-24 19:00:00",7589.08
"2018-05-24 20:00:00",7555.35
"2018-05-24 21:00:00",7532.03
"2018-05-24 22:00:00",7579.05
"2018-05-24 23:00:00",7575.74
"2018-05-25 00:00:00",7557.33
"2018-05-25 01:00:00",7559.42
"2018-05-25 02:00:00",7627.44
"2018-05-25 03:00:00",7600.42
"2018-05-25 04:00:00",7591.51
"2018-05-25 05:00:00",7625.73
"2018-05-25 06:00:00",7489.94
"2018-05-25 07:00:00",7435.99
"2018-05-25 08:00:00",7456.36
"2018-05-25 09:00:00",7396.06
"2018-05-25 10:00:00",7362.63
"2018-05-25 11:00:00",7453.29
"2018-05-25 12:00:00",7503.43
"2018-05-25 13:00:00",7484.46
